"","hgm_simple","CR","EN","VU","LC","Total","RLIE"
"1","Total",12,25,20,126,183,0.684153005464481
"2","Floodplain",2,9,3,15,29,0.613793103448276
"3","Valley-bottom",6,11,11,69,97,0.694845360824742
"4","Depression",0,0,0,2,2,0.8
"5","Seep",4,5,6,40,55,0.698181818181818
