"","RLE_EPL24","Seep","Unchannelled valley-bottom","Floodplain","Depression","Total"
"1","LC_WP",1,0,0,0,1
"2","LC_MP",1,1,0,0,2
"3","VU_WP",1,0,2,0,3
"4","VU_MP",1,1,0,0,2
"5","LC_PP",4,1,1,0,6
"6","LC_NP",3,1,2,0,6
"7","VU_PP",3,6,4,4,17
"8","VU_NP",1,1,0,1,3
"9","EN_WP",0,0,0,1,1
"10","EN_MP",1,1,1,1,4
"11","CR_WP",0,0,0,4,4
"12","CR_MP",1,0,0,1,2
"13","EN_PP",1,3,5,5,14
"14","EN_NP",2,4,4,2,12
"15","CR_PP",0,1,0,3,4
"16","CR_NP",1,0,0,0,1
"17","Total",21,20,19,22,82
