hgm,LC,EN,VU,CR,Total,RLIE
Total,47,15,3,17,82,0.7097560975609756
Unchannelled valley-bottom,8,3,3,6,20,0.61
Seep,10,8,0,3,21,0.6571428571428571
Floodplain,8,3,0,8,19,0.5684210526315789
Depression,21,1,0,0,22,0.9727272727272728
