"","type","zone","extent","RLE","EPL","RLE_EPL","realm"
"62","Southern Fynbos_Depression","Depression",15.0098190395339,"CR","MP","CR_MP","wet"
"63","Southern Fynbos_Floodplain","Floodplain",236.024022554136,"EN","PP","EN_PP","wet"
"64","Southern Fynbos_Seep","Seep",111.521658885611,"LC","MP","LC_MP","wet"
"65","Southern Fynbos_Unchannelled valley-bottom","Unchannelled valley-bottom",23.7301185174854,"EN","PP","EN_PP","wet"
"66","Southwest Fynbos_Depression","Depression",6.99757843059315,"CR","PP","CR_PP","wet"
"67","Southwest Fynbos_Floodplain","Floodplain",354.314162514442,"EN","PP","EN_PP","wet"
"68","Southwest Fynbos_Seep","Seep",202.995871161994,"LC","WP","LC_WP","wet"
"69","Southwest Fynbos_Unchannelled valley-bottom","Unchannelled valley-bottom",13.8721840964001,"LC","PP","LC_PP","wet"
"70","Sub-Escarpment Grassland_Depression","Depression",46.0437405621298,"EN","NP","EN_NP","wet"
"71","Sub-escarpment Grassland_Floodplain","Floodplain",1225.47737694565,"CR","PP","CR_PP","wet"
"72","Sub-escarpment Grassland_Seep","Seep",1360.05149916989,"EN","NP","EN_NP","wet"
"73","Sub-escarpment Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom",272.582305343402,"EN","PP","EN_PP","wet"
"74","Sub-escarpment Savanna_Depression","Depression",3.85490224095205,"EN","NP","EN_NP","wet"
"75","Sub-escarpment Savanna_Floodplain","Floodplain",172.496364398152,"CR","PP","CR_PP","wet"
"76","Sub-escarpment Savanna_Seep","Seep",192.130034931587,"CR","NP","CR_NP","wet"
"77","Sub-escarpment Savanna_Unchannelled valley-bottom","Unchannelled valley-bottom",19.1829018516871,"CR","NP","CR_NP","wet"
"78","West Coast_Depression","Depression",5.9274006283478,"CR","NP","CR_NP","wet"
"79","West Coast_Floodplain","Floodplain",199.013974380418,"EN","PP","EN_PP","wet"
"80","West Coast_Seep","Seep",33.1684195524503,"CR","NP","CR_NP","wet"
"81","West Coast_Unchannelled valley-bottom","Unchannelled valley-bottom",5.79521665631635,"CR","NP","CR_NP","wet"
