"","type","zone","RLE18","RLE24","RLEsa18","RLEsa24","type24_m2","extent","EPL18","EPL24","RLE_EPL24"
"47","Mesic Highveld Grassland_Floodplain","Floodplain","VU","VU","EN","LC",4705685960.55361,4705.68596055361,"PP","PP","VU_PP"
"48","Mesic Highveld Grassland_Seep","Seep","LC","LC","LC","LC",1584531762.99841,1584.53176299841,"PP","PP","LC_PP"
"49","Mesic Highveld Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","VU","EN","EN",360753113.194898,360.753113194898,"PP","PP","VU_PP"
"50","Mopane_Depression","Depression","VU","VU","LC","LC",12574153.3928655,12.5741533928655,"MP","MP","VU_MP"
"51","Mopane_Floodplain","Floodplain","LC","LC","LC","LC",314933915.089702,314.933915089702,"WP","WP","LC_WP"
"52","Mopane_Seep","Seep","LC","LC","LC","LC",1115907.83281818,1.11590783281818,"WP","WP","LC_WP"
"53","Mopane_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC","LC","LC",48559249.4660556,48.5592494660556,"MP","MP","LC_MP"
"54","Namaqualand_Depression","Depression","EN","EN","LC","LC",122947907.774138,122.947907774138,"PP","PP","EN_PP"
"55","Northwest Fynbos_Depression","Depression","VU","VU","LC","LC",11348930.6361013,11.3489306361013,"PP","PP","VU_PP"
"56","Northwest Fynbos_Floodplain","Floodplain","EN","VU","CR","CR",141280050.262576,141.280050262576,"PP","PP","VU_PP"
"57","Northwest Fynbos_Seep","Seep","LC","LC","LC","LC",33121588.3371099,33.1215883371099,"MP","MP","LC_MP"
"58","Northwest Fynbos_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","LC","CR","CR",6879912.95135315,6.87991295135315,"PP","PP","LC_PP"
"59","Pondoland Coastal Belt_Floodplain","Floodplain","LC","LC","LC","LC",3779961.17110422,3.77996117110422,"NP","NP","LC_NP"
"60","Pondoland Coastal Belt_Seep","Seep","LC","LC","LC","LC",15338891.1024306,15.3388911024305,"NP","NP","LC_NP"
"61","Pondoland Coastal Belt_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC","LC","LC",4842956.73965505,4.84295673965505,"PP","PP","LC_PP"
"62","Southern Fynbos_Depression","Depression","VU","VU","LC","LC",15009819.0395234,15.0098190395234,"MP","MP","VU_MP"
"63","Southern Fynbos_Floodplain","Floodplain","VU","LC","EN","EN",236010955.836506,236.010955836506,"PP","PP","LC_PP"
"64","Southern Fynbos_Seep","Seep","LC","LC","LC","LC",111317462.736377,111.317462736377,"MP","MP","LC_MP"
"65","Southern Fynbos_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC","EN","EN",23725308.6815185,23.7253086815185,"PP","PP","LC_PP"
"66","Southwest Fynbos_Depression","Depression","LC","LC","LC","LC",6997578.43059405,6.99757843059405,"PP","PP","LC_PP"
"67","Southwest Fynbos_Floodplain","Floodplain","VU","LC","CR","EN",354307111.197211,354.307111197211,"PP","PP","LC_PP"
"68","Southwest Fynbos_Seep","Seep","LC","LC","LC","LC",202843878.379849,202.843878379849,"WP","WP","LC_WP"
"69","Southwest Fynbos_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC","EN","LC",13872184.0963985,13.8721840963985,"PP","PP","LC_PP"
"70","Sub-Escarpment Grassland_Depression","Depression","VU","LC","EN","EN",46043740.5621234,46.0437405621234,"NP","NP","LC_NP"
"71","Sub-escarpment Grassland_Floodplain","Floodplain","EN","VU","CR","CR",1225439951.55026,1225.43995155026,"PP","PP","VU_PP"
"72","Sub-escarpment Grassland_Seep","Seep","VU","LC","EN","EN",1359355391.50478,1359.35539150478,"NP","NP","LC_NP"
"73","Sub-escarpment Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","VU","EN","EN",272581746.786445,272.581746786445,"PP","PP","VU_PP"
"74","Sub-escarpment Savanna_Depression","Depression","VU","VU","LC","LC",3854902.24095925,3.85490224095925,"NP","NP","VU_NP"
"75","Sub-escarpment Savanna_Floodplain","Floodplain","EN","VU","CR","CR",172438716.714764,172.438716714764,"NP","PP","VU_PP"
"76","Sub-escarpment Savanna_Seep","Seep","EN","LC","CR","CR",191616632.594298,191.616632594298,"NP","NP","LC_NP"
"77","Sub-escarpment Savanna_Unchannelled valley-bottom","Unchannelled valley-bottom","EN","VU","CR","CR",19182059.807495,19.182059807495,"NP","NP","VU_NP"
"78","West Coast_Depression","Depression","EN","EN","LC","CR",5927400.62834147,5.92740062834147,"NP","NP","EN_NP"
"79","West Coast_Floodplain","Floodplain","EN","VU","CR","EN",198670650.878478,198.670650878478,"PP","PP","VU_PP"
"80","West Coast_Seep","Seep","EN","VU","CR","CR",33162607.206678,33.162607206678,"PP","NP","VU_NP"
"81","West Coast_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","LC","CR","CR",5795216.65632055,5.79521665632055,"NP","NP","LC_NP"
