hgm,CR,EN,VU,LC,Total,RLIE
Total,15,22,24,21,82,0.575609756097561
Unchannelled valley-bottom,1,8,5,6,20,0.62
Seep,2,3,8,8,21,0.6857142857142857
Floodplain,0,7,7,5,19,0.631578947368421
Depression,12,4,4,2,22,0.38181818181818183
