hgm,CR,EN,VU,LC,Total
Total,5744,4190,995,18822,29751
Unchannelled valley-bottom,59,661,18,2725,3463
Seep,272,1718,0,2895,4885
Floodplain,1972,1029,201,10561,13763
Depression,3441,782,776,2641,7640
