hgm,LC,EN,VU,CR,Total
Total,18771,7507,125,3503,29906
Unchannelled valley-bottom,2663,314,125,479,3581
Seep,2528,2155,0,271,4954
Floodplain,5973,4992,0,2753,13718
Depression,7607,46,0,0,7653
