"","ETS_EPL24","Depression","Floodplain","Seep","Unchannelled valley-bottom","Total"
"1","LC_WP",5,2,3,0,10
"2","LC_MP",2,1,1,5,9
"3","LC_PP",10,6,5,6,27
"4","LC_NP",3,1,1,2,7
"5","EN_MP",0,0,2,0,2
"6","EN_PP",1,3,3,2,9
"7","EN_NP",0,1,1,0,2
"8","CR_PP",0,3,0,1,4
"9","CR_NP",1,2,4,3,10
"10","Total",22,19,20,19,80
