"","type","zone","ETS18","ETS24","extent","EPL18","EPL24","ETS_EPL24"
"59","Pondoland Coastal Belt_Floodplain","Floodplain","LC","LC",3.77996117110434,"NP","NP","LC_NP"
"60","Pondoland Coastal Belt_Seep","Seep","LC","LC",15.6255255771008,"NP","NP","LC_NP"
"61","Pondoland Coastal Belt_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC",4.84295673965124,"PP","PP","LC_PP"
"62","Southern Fynbos_Depression","Depression","CR","CR",15.0098190395339,"MP","MP","CR_MP"
"63","Southern Fynbos_Floodplain","Floodplain","EN","EN",236.024022554136,"PP","PP","EN_PP"
"64","Southern Fynbos_Seep","Seep","LC","LC",111.521658885611,"MP","MP","LC_MP"
"65","Southern Fynbos_Unchannelled valley-bottom","Unchannelled valley-bottom","EN","EN",23.7301185174854,"PP","PP","EN_PP"
"66","Southwest Fynbos_Depression","Depression","CR","CR",6.99757843059315,"PP","PP","CR_PP"
"67","Southwest Fynbos_Floodplain","Floodplain","CR","EN",354.314162514442,"PP","PP","EN_PP"
"68","Southwest Fynbos_Seep","Seep","LC","LC",202.995871161994,"WP","WP","LC_WP"
"69","Southwest Fynbos_Unchannelled valley-bottom","Unchannelled valley-bottom","EN","LC",13.8721840964001,"PP","PP","LC_PP"
"70","Sub-Escarpment Grassland_Depression","Depression","EN","EN",46.0437405621298,"NP","NP","EN_NP"
"71","Sub-escarpment Grassland_Floodplain","Floodplain","CR","CR",1225.47737694565,"PP","PP","CR_PP"
"72","Sub-escarpment Grassland_Seep","Seep","EN","EN",1360.05149916989,"NP","NP","EN_NP"
"73","Sub-escarpment Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom","EN","EN",272.582305343402,"PP","PP","EN_PP"
"74","Sub-escarpment Savanna_Depression","Depression","EN","EN",3.85490224095205,"NP","NP","EN_NP"
"75","Sub-escarpment Savanna_Floodplain","Floodplain","CR","CR",172.496364398152,"NP","PP","CR_PP"
"76","Sub-escarpment Savanna_Seep","Seep","CR","CR",192.130034931587,"NP","NP","CR_NP"
"77","Sub-escarpment Savanna_Unchannelled valley-bottom","Unchannelled valley-bottom","CR","CR",19.1829018516871,"NP","NP","CR_NP"
"78","West Coast_Depression","Depression","CR","CR",5.9274006283478,"NP","NP","CR_NP"
"79","West Coast_Floodplain","Floodplain","CR","EN",199.013974380418,"PP","PP","EN_PP"
"80","West Coast_Seep","Seep","CR","CR",33.1684195524503,"PP","NP","CR_NP"
"81","West Coast_Unchannelled valley-bottom","Unchannelled valley-bottom","CR","CR",5.79521665631635,"NP","NP","CR_NP"
