type,type_area,X,eoo_km2,nat1990,nat2018,nat2022,prpnat1990,prpnat2018,prpnat2022,ard9022,nat40_9022,prplost9040_9022,ard1822,nat40_1822,prplost9040_1822,ard9018,nat40_9018,prplost9040_9018,rod9022,rod1822,rod9018,A3_24,A2b_24,B1ai_24,A3_18,A2b_18,B1ai_18
Drakensberg Grassland_Floodplain,239724000,Drakensberg Grassland_Floodplain,77851.1761210584,154538400,137715600,136218800,0.6446513490514091,0.5744756469940432,0.568231799903222,572487.5,125914025,0.1852249990940763,374200,119005600,0.22992861321199132,600814.2857142857,124497685.71428572,0.19438996576717685,0.3704499981881526,0.45985722642398263,0.3887799315343537,LC,LC,LC,LC,LC,LC
Drakensberg Grassland_Seep,136792000,Drakensberg Grassland_Seep,82462.8627055616,106005200,98473600,97270800,0.7749371308263641,0.7198783554593836,0.7110854435931926,272950,92357700,0.12874368427209232,300700,83438600,0.2128820095617951,268985.71428571426,92555914.28571428,0.12687382990915272,0.25748736854418464,0.4257640191235902,0.25374765981830544,LC,LC,LC,LC,LC,LC
Drakensberg Grassland_Unchannelled valley-bottom,18230400,Drakensberg Grassland_Unchannelled valley-bottom,56270.5351465627,11713200,11278000,10823600,0.642509215376514,0.6186370019308408,0.5937116025978585,27800,10323200,0.11866953522521599,113600,5598000,0.5220776559778711,15542.857142857143,10936057.142857144,0.06634761270556777,0.23733907045043198,1.0441553119557423,0.13269522541113554,LC,EN,LC,LC,LC,LC
Dry Highveld Grassland_Depression,1192470000,Dry Highveld Grassland_Depression,222295.37275812,1043379600,998871200,976211600,0.874973458451785,0.8376489135995036,0.8186466745494646,2099000,938429600,0.10058659379577672,5664900,715626200,0.31412670901367057,1589585.7142857143,963900314.2857143,0.07617485114169928,0.20117318759155348,0.6282534180273411,0.15234970228339856,LC,VU,LC,LC,LC,LC
Dry Highveld Grassland_Floodplain,1460246800,Dry Highveld Grassland_Floodplain,196743.160176541,1244729200,1174981600,1148753200,0.8524101542287236,0.8046458995835498,0.7866842783014487,2999250,1094766700,0.12047801240623261,6557100,847126600,0.31942899708627387,2490985.714285714,1120179914.2857144,0.10006135126763765,0.24095602481246522,0.6388579941725477,0.20012270253527534,LC,VU,LC,LC,LC,LC
Dry Highveld Grassland_Seep,233550800,Dry Highveld Grassland_Seep,268321.779753587,181258000,171034000,168874800,0.7760966778962007,0.7323203345910183,0.7230752367365044,386975,161909250,0.10674701254565316,539800,144044000,0.20530955875051032,365142.85714285716,163000857.14285713,0.10072461826315454,0.21349402509130636,0.41061911750102065,0.20144923652630908,LC,LC,LC,LC,LC,LC
Dry Highveld Grassland_Unchannelled valley-bottom,824696800,Dry Highveld Grassland_Unchannelled valley-bottom,238257.527446115,679661200,651323200,635626000,0.824134639542678,0.7897729201810896,0.7707390158419434,1376100,610856200,0.10123426201171996,3924300,455108200,0.33038961176539133,1012071.4285714285,629057628.5714285,0.07445411247334917,0.20246852402343993,0.6607792235307827,0.14890822494669834,LC,VU,LC,LC,LC,LC
East Coast Renosterveld_Depression,19494400,East Coast Renosterveld_Depression,5515.56025850975,18196400,17531600,17512400,0.933416776099803,0.8993146749835851,0.8983297767564018,21375,17127650,0.05873414521553714,4800,17291600,0.049724121254753686,23742.85714285714,17009257.14285714,0.06524053423440121,0.11746829043107429,0.09944824250950739,0.13048106846880242,LC,LC,LC,LC,LC,LC
East Coast Renosterveld_Floodplain,350632400,East Coast Renosterveld_Floodplain,24251.4717285399,223387600,166132400,163625200,0.6370991385850252,0.4738078968172936,0.46665738819344704,1867575,130008850,0.41801223523597547,626800,134792400,0.39659855784295994,2044828.5714285714,121146171.42857143,0.45768623044174594,0.8360244704719509,0.7931971156859199,0.9153724608834919,VU,VU,VU,VU,VU,VU
East Coast Renosterveld_Seep,82334400,East Coast Renosterveld_Seep,24463.4230315263,56875600,45066000,44748400,0.6907878116558814,0.5473532326706698,0.5434957927670573,378975,37926850,0.3331613204959596,79400,41096000,0.2774405896377357,421771.4285714286,35787028.57142857,0.3707841575046493,0.6663226409919192,0.5548811792754714,0.7415683150092987,LC,LC,VU,LC,VU,VU
East Coast Renosterveld_Unchannelled valley-bottom,11472400,East Coast Renosterveld_Unchannelled valley-bottom,14167.3016421708,9244400,8264800,8235200,0.8057947770300896,0.7204072382413444,0.7178271329451553,31537.5,7667525,0.17057624075115746,7400,7894800,0.14599108649560816,34985.71428571428,7495114.285714285,0.18922652787479063,0.3411524815023149,0.2919821729912163,0.37845305574958127,LC,LC,LC,LC,LC,EN
