type,type_area,X,eoo_km2,nat1990,nat2018,nat2022,prpnat1990,prpnat2018,prpnat2022,ard9022,nat40_9022,prplost9040_9022,ard1822,nat40_1822,prplost9040_1822,ard9018,nat40_9018,prplost9040_9018,rod9022,rod1822,rod9018,A3_24,A2b_24,B1ai_24,A3_18,A2b_18,B1ai_18
Lowveld_Depression,90352800,Lowveld_Depression,503501.634800793,77594000,70797200,70156000,0.858789102274639,0.7835639847353928,0.7764673590635819,232437.5,65972125,0.14977801118643194,160300,62782200,0.1908884707580483,242742.85714285713,65456857.14285714,0.1564185743374856,0.2995560223728639,0.3817769415160966,0.3128371486749712,LC,LC,LC,LC,LC,LC
Lowveld_Floodplain,625718800,Lowveld_Floodplain,93456.8145638137,488953600,416988000,408938400,0.7814270563710088,0.666414370161165,0.6535498054397598,2500475,363929850,0.25569655280173825,2012400,316368000,0.35296927970261394,2570200,360443600,0.2628265749551696,0.5113931056034765,0.7059385594052279,0.5256531499103392,LC,VU,LC,LC,LC,LC
Lowveld_Seep,238702400,Lowveld_Seep,101274.830671409,149355600,130972400,129526400,0.6256979401966632,0.5486848896366354,0.5426271373894859,619662.5,118372475,0.20744535189842228,361500,112897400,0.24410333459207423,656542.8571428572,116528457.14285713,0.21979184481293548,0.41489070379684456,0.48820666918414846,0.43958368962587097,LC,LC,LC,LC,LC,LC
Lowveld_Unchannelled valley-bottom,67376000,Lowveld_Unchannelled valley-bottom,93756.6184411096,42105600,36401600,35951600,0.6249346948468297,0.5402754690097364,0.5335965328900498,192312.5,32489975,0.22836926679586564,112500,30776600,0.2690615975072199,203714.2857142857,31919885.714285716,0.2419087790154821,0.4567385335917312,0.5381231950144398,0.48381755803096427,LC,LC,LC,LC,LC,LC
Maputaland Coastal Belt_Depression,223124800,Maputaland Coastal Belt_Depression,35296.8280175311,201033600,194238000,190870800,0.9009917319813844,0.870535234093207,0.8554441281291905,317587.5,185154225,0.07898866159686739,841800,152148000,0.24317129076930424,242700,188898600,0.060363043789694856,0.15797732319373478,0.48634258153860854,0.12072608757938971,LC,LC,VU,LC,LC,LC
Maputaland Coastal Belt_Floodplain,560289600,Maputaland Coastal Belt_Floodplain,10711.3982441556,417728800,359858000,344979600,0.7455587253448931,0.6422714253486055,0.6157165865652334,2273412.5,304058175,0.27211584405959083,3719600,173878000,0.5837538613569379,2066814.2857142857,314388085.71428573,0.2473870948943771,0.5442316881191817,1.1675077227138757,0.49477418978875426,LC,EN,EN,LC,LC,EN
Maputaland Coastal Belt_Seep,37421200,Maputaland Coastal Belt_Seep,10920.0014947479,20683200,17086000,15782800,0.5527134351650936,0.45658610627131146,0.4217609269611878,153137.5,13026325,0.3701977933782007,325800,796000,0.9615146592403496,128471.42857142857,14259628.57142857,0.31056951673684097,0.7403955867564014,1.9230293184806992,0.6211390334736819,VU,CR,EN,VU,VU,EN
Maputaland Coastal Belt_Unchannelled valley-bottom,58330000,Maputaland Coastal Belt_Unchannelled valley-bottom,8876.36765746155,38917200,33952000,31927600,0.6671901251500085,0.5820675467169553,0.5473615635179153,218425,27995950,0.28062784578541106,506100,8647000,0.777810325511599,177328.57142857142,30050771.42857143,0.22782801875336794,0.5612556915708221,1.555620651023198,0.45565603750673583,LC,EN,EN,LC,LC,EN
Mesic Highveld Grassland_Depression,473276400,Mesic Highveld Grassland_Depression,215528.32079583,396883600,375169200,369296800,0.8385873455764961,0.7927063339731286,0.780298362648127,862087.5,353779225,0.1086070953801064,1468100,301764200,0.23966573574720648,775514.2857142857,358107885.71428573,0.09770047007665288,0.21721419076021284,0.47933147149441296,0.19540094015330578,LC,LC,LC,LC,LC,LC
Mesic Highveld Grassland_Floodplain,4708445600,Mesic Highveld Grassland_Floodplain,188195.031628107,3557550800,3314588800,3264422400,0.7555679946689837,0.7039666763910366,0.6933121198214545,9160262.5,3099537675,0.1287439451321398,12541600,2687508800,0.24456207343546577,8677214.285714285,3123690085.714286,0.12195488938224414,0.2574878902642796,0.48912414687093153,0.24390977876448827,LC,LC,LC,LC,LC,LC
Mesic Highveld Grassland_Seep,1584661600,Mesic Highveld Grassland_Seep,242807.256316579,1154054400,1062242400,1043992400,0.7282655173823862,0.6703275954942052,0.6588109410867279,3439437.5,982082525,0.14901539736774974,4562500,834117400,0.2772286990977202,3279000,990104400,0.14206436022426672,0.2980307947354995,0.5544573981954404,0.28412872044853343,LC,LC,LC,LC,LC,LC
Mesic Highveld Grassland_Unchannelled valley-bottom,360748000,Mesic Highveld Grassland_Unchannelled valley-bottom,227037.398511254,265490800,244988400,240292400,0.7359453136261324,0.6791122889108187,0.6660948917249715,787450,226118300,0.1483008074102756,1174000,186288400,0.29832446171392757,732228.5714285715,228879371.42857143,0.13790093129942194,0.2966016148205512,0.5966489234278551,0.27580186259884387,LC,LC,LC,LC,LC,LC
Mopane_Depression,12586400,Mopane_Depression,39936.4986743864,11804400,11644800,11574000,0.937869446386576,0.9251890929892582,0.9195639738130045,7200,11444400,0.030497102775236352,17700,10759800,0.08849242655281081,5700,11519400,0.02414353969706211,0.060994205550472705,0.17698485310562162,0.04828707939412422,LC,LC,LC,LC,LC,LC
Mopane_Floodplain,314940800,Mopane_Floodplain,35300.6009900938,289971200,283693200,282088400,0.9207165283126225,0.9007826232739613,0.8956870624574523,246337.5,277654325,0.04247620108479739,401200,263633200,0.09082970998499161,224214.2857142857,278760485.71428573,0.0386614749523893,0.08495240216959478,0.18165941996998322,0.0773229499047786,LC,LC,LC,LC,LC,LC
Mopane_Seep,1112800,Mopane_Seep,12961.1275841661,1098000,1070800,1069200,0.9867002156721782,0.9622573687994249,0.9608195542774982,900,1053000,0.040983606557377046,400,1050800,0.04298724954462659,971.4285714285714,1049428.5714285714,0.044236273744470526,0.08196721311475409,0.08597449908925318,0.08847254748894105,LC,LC,LC,LC,LC,LC
Mopane_Unchannelled valley-bottom,48566800,Mopane_Unchannelled valley-bottom,4051.28800518619,48322400,48306400,48290800,0.9949677557508422,0.9946383125921411,0.9943171055124077,987.5,48273025,0.0010217828584672946,3900,48111400,0.004366504974918464,571.4285714285714,48293828.571428575,5.912667535433956e-4,0.002043565716934589,0.008733009949836928,0.0011825335070867911,LC,LC,LC,LC,LC,LC
Namaqualand_Depression,122969200,Namaqualand_Depression,35047.1433363071,110820800,109679600,109594000,0.9012077821112929,0.8919274094651344,0.8912313001954961,38337.5,108903925,0.017297068781311813,21400,108609600,0.01995293302340355,40757.142857142855,108782942.85714285,0.018388760438989335,0.034594137562623625,0.0399058660468071,0.03677752087797867,LC,LC,LC,LC,LC,LC
Northwest Fynbos_Depression,11346000,Northwest Fynbos_Depression,28828.4577976359,10131200,9936000,9930000,0.8929314295787062,0.8757271285034374,0.8751983077736647,6287.5,9816825,0.031030381396083388,1500,9861000,0.02667008843967151,6971.428571428572,9782628.57142857,0.03440573955419191,0.06206076279216678,0.05334017687934302,0.06881147910838382,LC,LC,LC,LC,LC,LC
Northwest Fynbos_Floodplain,156278400,Northwest Fynbos_Floodplain,20095.1813453441,108824400,94139600,92691200,0.6963495914982493,0.602383950693122,0.5931158752585131,504162.5,83616275,0.23164037660671688,362100,76034600,0.30130926520155404,524457.1428571428,82601542.85714287,0.2409648676478541,0.46328075321343376,0.6026185304031081,0.4819297352957082,LC,VU,VU,LC,LC,VU
Northwest Fynbos_Seep,36436400,Northwest Fynbos_Seep,17409.7770078508,25730000,22471600,22234800,0.7061619698982337,0.6167349134382102,0.6102359179282256,109225,20268750,0.21225223474543334,59200,19511600,0.24167897396035756,116371.42857142857,19911428.57142857,0.22613958136694245,0.4245044694908667,0.4833579479207152,0.4522791627338849,LC,LC,EN,LC,LC,EN
Northwest Fynbos_Unchannelled valley-bottom,6888800,Northwest Fynbos_Unchannelled valley-bottom,6268.46654446986,3565200,3156000,3123200,0.5175357101381953,0.4581349436766926,0.4533735919173151,13812.5,2874575,0.19371283518456187,8200,2746000,0.22977673061819814,14614.285714285714,2834485.7142857146,0.20495744578544975,0.38742567036912373,0.45955346123639623,0.4099148915708995,VU,LC,EN,VU,LC,EN
Pondoland Coastal Belt_Floodplain,3786400,Pondoland Coastal Belt_Floodplain,2978.64547019969,2595600,2490000,2485200,0.6855060215508134,0.6576167335727868,0.6563490386646947,3450,2423100,0.066458622283865,1200,2430000,0.0638002773925104,3771.4285714285716,2407028.5714285714,0.07265041939105742,0.13291724456773,0.1276005547850208,0.14530083878211483,LC,LC,LC,LC,LC,LC
Pondoland Coastal Belt_Seep,15630800,Pondoland Coastal Belt_Seep,4511.93713816423,11924000,10854000,10813200,0.7628528290298641,0.6943982393735445,0.6917880082913223,34712.5,10188375,0.14555727943643074,10200,10344000,0.13250587051325058,38214.28571428572,10013285.714285715,0.16024105046245266,0.2911145588728615,0.26501174102650116,0.3204821009249053,LC,LC,LC,LC,LC,EN
