hgm,CR,EN,VU,LC,Total
Total,NA,3090,11666,12293,NA
Unchannelled valley-bottom,0,112,1098,2163,3373
Seep,38,286,1299,2693,4316
Floodplain,NA,2521,3693,6277,NA
Depression,700,171,5576,1160,7607
