hgm,CR,EN,VU,LC,Total
Total,343,10527,13548,5490,29908
Unchannelled valley-bottom,43,147,788,2603,3581
Seep,47,396,3861,650,4954
Floodplain,0,4249,7233,2237,13719
Depression,253,5735,1666,0,7654
