type,hgm,A,B,C,D,E,F,NA.x,type24_m2,A18,B18,C18,D18,E18,F18,NA.y,type18_m2,type_area,X,eoo_km2,nat1990,nat2018,nat2022,prpnat1990,prpnat2018,prpnat2022,ard9022,nat40_9022,prplost9040_9022,ard1822,nat40_1822,prplost9040_1822,ard9018,nat40_9018,prplost9040_9018,rod9022,rod1822,rod9018,prp24_def,prp18_def,pes_decline1824,prp18_ab,prp18_abc,prp24_ab,prp24_abc,call18,call24,call68,A2b_18,A3_18,A3sa_18,B1ai_18,B1aii_18,D2_18,D3_18,D3veg_18,D3wq_18,D3geo_18,D3hyd_18,D3fin_18,A2b_24,A3_24,A3sa_24,B1ai_24,B1aii_24,D2_24,D3_24,D3veg_24,D3wq_24,D3geo_24,D3hyd_24,D3fin_24,RLE18,RLE24,ETS18,ETS24
Central Bushveld_Seep,Seep,42604777.95911025,20801767.760577247,51941003.93088945,43120397.83465004,36378257.49818602,3145380.350704183,21116.109810079335,197991585.3341172,43829378.47109548,20850902.984685846,54868925.9178428,40520193.43410643,34970156.74356273,2952027.7828239137,21116.109810079335,197991585.3341172,198028000,Central Bushveld_Seep,153740.494281759,136202000,120358000,116985600,0.6877916254267074,0.6077827377946553,0.5907528228331347,600512.5,106176375,0.2204492224783777,843100,78203000,0.4258307513839738,565857.1428571428,107909142.85714287,0.20772717832966575,0.44089844495675534,0.8516615027679477,0.4154543566593315,0.4174118589134773,0.39619046348923886,decline1824,0.32668197159304146,0.6038095365107611,0.32024868942125445,0.5825881410865226,0.3466038461336358,0.3560656605947561,0.4554147124365189,LC,LC,EN,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,EN,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,EN,EN
Central Bushveld_Unchannelled valley-bottom,Unchannelled valley-bottom,52319340.94899895,212400989.4757289,85701218.9330535,48369581.51135205,46460732.350222476,553123.7331992814,1088.341888597468,445804986.9525551,52649472.83698828,216755584.90329513,82673354.88238525,44521434.1487258,48740418.855361395,464721.3257992968,1088.341888597468,445804986.9525552,445784000,Central Bushveld_Unchannelled valley-bottom,146689.172418654,345994400,320848800,317372000,0.7761480896577715,0.7197405021265905,0.7119412091954848,894450,301271900,0.12925787238174954,869200,277388800,0.19828529016654606,898057.1428571428,301091542.85714287,0.12977914423718168,0.2585157447634991,0.39657058033309206,0.25955828847436335,0.21395776266837727,0.21024119754824852,decline1824,0.604311449232296,0.7897588024517515,0.5938029815106146,0.7860422373316228,0.2582584665948061,0.2661259887703734,0.34873497161383005,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Drakensberg Grassland_Depression,Depression,6136477.028177699,4219942.121557928,120845.92216623336,271678.4276284517,17204.257069508312,104355.8601820085,3402.2263653976843,10870503.616781829,6184612.080634304,4187916.6377869067,126525.96779276378,148323.96999230317,38012.025159682846,185112.93541586833,3402.2263653976843,10870503.616781829,10918000,Drakensberg Grassland_Depression,87652.7743777117,10402400,10319200,10304000,0.95277523355926,0.9451547902546253,0.9437625938816633,3075,10248650,0.014780243020841344,3800,10129200,0.026263170037683612,2971.4285714285716,10253828.57142857,0.014282418343019795,0.029560486041682692,0.05252634007536722,0.02856483668603959,0.03617482305722145,0.034170351592028664,decline1824,0.9541902642310107,0.9658296484079715,0.952708311852952,0.9638251769427785,0.1379425729036411,0.15697625135350546,0.3568298750770813,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC
Drakensberg Grassland_Floodplain,Floodplain,23960527.453471575,22446712.757497787,86414136.50390537,92994856.19356821,13798536.367259096,96514.1882826687,1395.6123731549342,239711283.46398473,25915765.476104062,20582786.291334037,86051517.94095711,95509592.65180345,11651621.103786072,0,1395.6123731549342,239711283.46398473,239724000,Drakensberg Grassland_Floodplain,77851.1761210586,154538400,137715600,136218800,0.6446513490514091,0.5744756469940432,0.568231799903222,572487.5,125914025,0.1852249990940763,374200,119005600,0.22992861321199132,600814.2857142857,124497685.71428572,0.19438996576717685,0.3704499981881526,0.45985722642398263,0.3887799315343537,0.4459110359949726,0.44704284340328054,nodecline1824,0.19397731761101786,0.5529571565967195,0.1935963945474506,0.5540889640050273,0.3510975312602419,0.3561618336456891,0.40933700869288464,LC,LC,CR,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,CR,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,CR,CR
Drakensberg Grassland_Seep,Seep,57715606.806506984,12674437.351410601,24642815.2058369,26934163.246677596,11876165.83222776,2542146.181750656,258422.70822485484,136385334.6244105,58912115.10051694,13584849.15274502,24926337.328226842,25691961.030672662,11022457.351781901,2247614.660467138,258422.70822485484,136385334.6244105,136792000,Drakensberg Grassland_Seep,82462.8627055625,106005200,98473600,97270800,0.7749371308263641,0.7198783554593836,0.7110854435931926,272950,92357700,0.12874368427209232,300700,83438600,0.2128820095617951,268985.71428571426,92555914.28571428,0.12687382990915272,0.25748736854418464,0.4257640191235902,0.25374765981830544,0.3032032393698044,0.2856761186986757,decline1824,0.5315598224171993,0.7143238813013242,0.5161115331920668,0.6967967606301955,0.25062725131914654,0.2576185382820354,0.3310270513923685,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Drakensberg Grassland_Unchannelled valley-bottom,Unchannelled valley-bottom,9095840.657937065,103312.34081138007,1193995.6128738904,545616.0205122975,6810872.142905649,388402.6738862976,93620.37323886948,18138039.44892658,9567647.494690983,74857.92611820938,1243848.1141775013,435367.05341159995,6810872.142905649,5446.717622636683,93620.37323886948,18138039.44892658,18230400,Drakensberg Grassland_Unchannelled valley-bottom,56270.535146562,11713200,11278000,10823600,0.642509215376514,0.6186370019308408,0.5937116025978585,27800,10323200,0.11866953522521599,113600,5598000,0.5220776559778711,15542.857142857143,10936057.142857144,0.06634761270556777,0.23733907045043198,1.0441553119557423,0.13269522541113554,0.426997132689696,0.39980538879956207,decline1824,0.5316178437013953,0.6001946112004379,0.5071746053178231,0.5730028673103038,0.29927190605573806,0.31894406766329886,0.5255017645426873,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,EN,LC,VU,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,EN,LC,VU
Dry Highveld Grassland_Depression,Depression,426452681.605717,456870951.5512685,181064059.42820573,60666112.183753654,28275174.299939606,39129532.56540807,0,1192458511.6342926,431674485.5804263,455162040.2505755,171081742.790104,67792174.56618553,25852157.496019818,40895910.950981475,0,1192458511.6342926,1192470000,Dry Highveld Grassland_Depression,222295.372758121,1043379600,998871200,976211600,0.874973458451785,0.8376489135995036,0.8186466745494646,2099000,938429600,0.10058659379577672,5664900,715626200,0.31412670901367057,1589585.7142857143,963900314.2857143,0.07617485114169928,0.20117318759155348,0.6282534180273411,0.15234970228339856,0.10740064983357554,0.11282593205594736,nodecline1824,0.7437043026474534,0.8871740679440526,0.740758378206693,0.8925993501664244,0.19148631043833197,0.22450359533896636,0.5711850867956274,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC
Dry Highveld Grassland_Floodplain,Floodplain,92355446.8838025,543834408.9042884,681188568.8592397,127567255.14454354,39126015.00531903,1302936.6281613193,647371.4210454925,1485374631.4253545,96233257.83825715,677808643.7525213,562305667.7508513,108918432.05056596,38832262.20081274,1276367.8323461246,647371.4210454925,1485374631.4253545,1485955600,Dry Highveld Grassland_Floodplain,202360.254231269,1263077600,1189763200,1163172000,0.8500103233232541,0.8006721062190553,0.7827770897057759,3122050,1106975100,0.1235890019742255,6647800,857373200,0.3212030678083437,2618371.4285714286,1132159028.5714285,0.10365045776171745,0.24717800394845102,0.6424061356166874,0.2073009155234349,0.11310022618119982,0.1003296131028706,decline1824,0.5211088739599744,0.8996703868971294,0.42830262637352834,0.8868997738188004,0.23484071574824095,0.24559876672211056,0.3585583019477415,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC
Dry Highveld Grassland_Seep,Seep,29170425.666944843,41911681.37840965,127874701.38033791,16747133.750927497,25664840.02405642,1651720.4235696446,21366.211754031025,243020502.62424597,30811330.22529709,49204350.57866745,120709326.39552318,14875857.987266114,25858955.434908953,1560682.002583184,21366.211754031025,243020502.62424597,243012000,Dry Highveld Grassland_Seep,275799.329783161,185738400,174476800,172234000,0.7643178114661004,0.7179760670254967,0.7087468931575396,422012.5,164637775,0.1136039989576738,560700,146441800,0.21156960542354192,402200,165628400,0.10827055686923114,0.2272079979153476,0.4231392108470839,0.21654111373846227,0.18131677666177848,0.17404085238912867,decline1824,0.3292548568533058,0.8259591476108713,0.2924942804322168,0.8186832233382214,0.28736097669436667,0.29376877291969006,0.3610506332855857,LC,LC,EN,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,EN,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,EN,EN
Dry Highveld Grassland_Unchannelled valley-bottom,Unchannelled valley-bottom,45734655.893243335,314011365.97241473,375252376.2174953,67750979.35332777,33129667.238105975,149740.59498111112,12891.022140192159,836028785.2695682,49992616.2111125,343045888.0269127,355339484.3586802,55188347.87262201,32326213.394722655,136235.40551821433,12891.022140192159,836028785.2695682,836023600,Dry Highveld Grassland_Unchannelled valley-bottom,249090.423293998,687516000,657111200,641326800,0.8223643447385935,0.78599599341454,0.767115665155864,1443412.5,615345375,0.10497301153718605,3946100,459806200,0.3312065464658277,1085885.7142857143,633221714.2857143,0.07897166860740075,0.2099460230743721,0.6624130929316554,0.1579433372148015,0.12084558446613619,0.10484184063662456,decline1824,0.47012556405135536,0.8951581593633756,0.4303033917063776,0.8791544155338639,0.23905972580958768,0.25490554863668435,0.4212866883211995,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC
East Coast Renosterveld_Depression,Depression,15690903.83525658,935870.1978371385,1279513.9971369682,885734.8289697188,389801.410784819,305679.5047757867,0,19487503.77476101,15690903.83525658,843349.8580911183,1719674.687322877,799590.4989385636,166774.7197014885,267210.1754503836,0,19487503.77476101,19494400,East Coast Renosterveld_Depression,5515.56025851046,18196400,17531600,17512400,0.933416776099803,0.8993146749835851,0.8983297767564018,21375,17127650,0.05873414521553714,4800,17291600,0.049724121254753686,23742.85714285714,17009257.14285714,0.06524053423440121,0.11746829043107429,0.09944824250950739,0.13048106846880242,0.08113998400237468,0.06330084182911538,decline1824,0.848454162444439,0.9366991581708846,0.8532018377144677,0.9188600159976253,0.1138659589327099,0.12891715357619582,0.286954697332798,LC,LC,LC,LC,EN,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,EN,LC,LC,LC,LC,LC,LC,LC,EN,EN,LC,LC
East Coast Renosterveld_Floodplain,Floodplain,4383340.65418461,11968273.535322206,141604661.9250769,101275359.38183159,90397606.69131069,278810.0384767548,742312.3374121084,349908052.2262027,4239259.662982751,12343741.89117293,145751924.8002366,105596030.62488224,81716290.73514275,260804.51178547405,742312.3374121084,349908052.2262028,350632400,East Coast Renosterveld_Floodplain,24251.4717285396,223387600,166132400,163625200,0.6370991385850252,0.4738078968172936,0.46665738819344704,1867575,130008850,0.41801223523597547,626800,134792400,0.39659855784295994,2044828.5714285714,121146171.42857143,0.45768623044174594,0.8360244704719509,0.7931971156859199,0.9153724608834919,0.5485777617587642,0.5360640450496158,decline1824,0.04739245481391602,0.4639359549503842,0.046731174334153636,0.451422238241236,0.4556501018917545,0.46241657764196165,0.533464573019137,VU,VU,CR,VU,VU,LC,VU,VU,LC,LC,VU,VU,VU,VU,CR,VU,VU,LC,VU,VU,VU,LC,VU,VU,VU,VU,CR,CR
East Coast Renosterveld_Seep,Seep,5577754.9683027435,15198249.597559616,21732809.271837384,21035811.3305842,16174979.203095363,2382826.6646851804,231297.49025640334,82102431.03606449,5619664.792451061,15528728.52981777,21567052.854414362,20846636.987615157,16276462.386415431,2263885.4853506978,231297.49025640334,82102431.03606448,82334400,East Coast Renosterveld_Seep,24463.4230315253,56875600,45066000,44748400,0.6907878116558814,0.5473532326706698,0.5434957927670573,378975,37926850,0.3331613204959596,79400,41096000,0.2774405896377357,421771.4285714286,35787028.57142857,0.3707841575046493,0.6663226409919192,0.5548811792754714,0.7415683150092987,0.48224658757026045,0.47972982483405485,decline1824,0.25758547043484187,0.5202701751659451,0.2530498098982751,0.5177534124297395,0.39962734606378014,0.4038124851875077,0.44775644598664677,VU,LC,EN,VU,VU,LC,LC,VU,LC,LC,LC,VU,LC,LC,EN,VU,VU,LC,LC,VU,LC,LC,LC,VU,VU,VU,EN,EN
East Coast Renosterveld_Unchannelled valley-bottom,Unchannelled valley-bottom,9205.276513959747,7320161.158165745,153541.3667673688,3915181.885138295,85571.38087419243,0,0,11483661.067459561,9205.276513959747,7320161.158165745,153541.3667673688,3898773.18616377,101980.07984871752,0,0,11483661.067459561,11472400,East Coast Renosterveld_Unchannelled valley-bottom,14167.3016421703,9244400,8264800,8235200,0.8057947770300896,0.7204072382413444,0.7178271329451553,31537.5,7667525,0.17057624075115746,7400,7894800,0.14599108649560816,34985.71428571428,7495114.285714285,0.18922652787479063,0.3411524815023149,0.2919821729912163,0.37845305574958127,0.3483865678820093,0.3483865678820093,nodecline1824,0.638243012539652,0.6516134321179908,0.638243012539652,0.6516134321179908,0.29306073809087796,0.2932236923431806,0.29493471199235805,LC,LC,LC,EN,LC,LC,LC,VU,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,LC,VU,LC,VU,LC,VU,EN,VU,LC,LC
Eastern Fynbos-Renosterveld_Depression,Depression,72635.40228241638,2754594.2801204785,397567.1715872324,183286.02138150268,554938.8783687821,309904.51033789606,0,4272926.264078308,85848.51920396858,2711007.268037796,459732.7575515075,179100.1098032124,543731.7469594246,293505.8625223991,0,4272926.264078308,4272000,Eastern Fynbos-Renosterveld_Depression,16108.1541280423,3299600,2592400,2586800,0.772378277153558,0.6068352059925094,0.6055243445692884,22275,2185850,0.3375409140501879,1400,2522400,0.23554370226694143,25257.14285714286,2036742.857142857,0.3827303742444972,0.6750818281003758,0.47108740453388287,0.7654607484889944,0.24529545920312476,0.23785519722846546,decline1824,0.6545527852316123,0.7621448027715345,0.6616612381474696,0.7547045407968753,0.2973601278808644,0.30355685782862174,0.3686225222800737,VU,LC,LC,EN,EN,LC,LC,VU,LC,LC,LC,VU,LC,LC,LC,EN,EN,LC,LC,VU,LC,LC,LC,VU,EN,EN,LC,LC
Eastern Kalahari Bushveld_Depression,Depression,124517190.28672932,808985180.0671021,68799060.17627117,16722840.514270904,11179033.622065429,10256746.988770561,0,1040460051.6552094,99048831.55926675,853351438.7382468,50565839.47521449,16643477.564002419,15191240.429971976,5659223.888507061,0,1040460051.6552095,1040715600,Eastern Kalahari Bushveld_Depression,220927.507042463,993974000,981452000,973402800,0.9550870574055006,0.9430549518043162,0.9353206582086403,642850,961831500,0.03233736496125653,2012300,880837000,0.113822896775972,447214.28571428574,971613285.7142857,0.022496276850012445,0.06467472992251307,0.227645793551944,0.04499255370002489,0.03667475850168633,0.03603592643738167,decline1824,0.9153645724142828,0.9639640735626183,0.8972015493230855,0.9633252414983138,0.17901727309481175,0.18676232705446405,0.26808539363081324,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,VU,VU,VU,LC,LC
Eastern Kalahari Bushveld_Seep,Seep,189221036.77396032,21905119.57559347,45858620.27708743,9816489.383174758,16944080.117873933,58818.21044549255,1908546.6345784194,283804164.3381354,183943904.77821,29714567.594190996,43377672.21055864,9165506.304941082,17543695.23978917,58818.21044549255,1908546.6345784194,283804164.3381354,285658000,Eastern Kalahari Bushveld_Seep,71282.8928434143,257301600,249483600,245457200,0.9007330444097488,0.8733646528366088,0.859269476086789,370137.5,238794725,0.07192677775808623,1006600,199153600,0.22599159896401733,279214.28571428574,243340885.7142857,0.05425817128892435,0.14385355551617246,0.45198319792803465,0.1085163425778487,0.09449962714268179,0.09431862924774873,decline1824,0.7528376930996682,0.9056813707522512,0.7439149345885208,0.9055003728573181,0.14034163366302732,0.14820343964418603,0.23075240244635248,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
