hgm,CR,EN,VU,LC,Total,RLIE
Total,21,20,8,32,81,0.5259259259259259
Unchannelled valley-bottom,4,5,3,8,20,0.55
Seep,3,7,0,10,20,0.5700000000000001
Floodplain,8,2,1,8,19,0.49473684210526314
Depression,6,6,4,6,22,0.49090909090909096
